630,,account,date,description,amount,category,`
,1708,AMEX,2023-06-04,TWILIGHT CAFE 001 TORONTO,8.48,food_drink,FALSE
,1883,AMEX,2023-06-04,ROLLTATION 10 DUNDAS TO TORONTO,14.45,food_drink,FALSE
,3169,BMO_MASTERCARD,2023-06-04,BARBURRITO TORONTO ON,12.87,food_drink,FALSE
,1878,AMEX,2023-06-03,ROLLTATION 10 DUNDAS TO TORONTO,0.53,food_drink,FALSE
,1879,AMEX,2023-06-03,ROLLTATION 10 DUNDAS TO TORONTO,14.45,food_drink,FALSE
,1880,AMEX,2023-06-03,RW & CO. #2226 TORONTO,-134.28,income_reimbursement,FALSE
,1881,AMEX,2023-06-03,RW & CO. #2226 TORONTO,-101.52,income_reimbursement,FALSE
,1882,AMEX,2023-06-03,TONY'S Toronto,18.19,food_drink,FALSE
,1875,AMEX,2023-06-02,BARONESS 001 TORONTO,7.63,food_drink,FALSE
,1876,AMEX,2023-06-02,ROLLTATION 10 DUNDAS TO TORONTO,15.9,food_drink,FALSE
,1877,AMEX,2023-06-02,STEAK&CHEESEFACTORY AND Toronto,14.69,food_drink,FALSE
,68,BMO_CHECKING,2023-06-01,PAC BLUE CROSS HDC/SDR,-180,income_reimbursement,FALSE
,109,BMO_CHECKING,2023-06-01,PAC BLUE CROSS HDC/SDR,-180,income_reimbursement,FALSE
,1872,AMEX,2023-06-01,AU PAIN DORE TORONTO,7.8,food_drink,FALSE
,1873,AMEX,2023-06-01,POPEYES #2516 TORONTO,7.33,food_drink,FALSE
,1874,AMEX,2023-06-01,TIM HORTONS #2387 TORONTO,9.92,food_drink,FALSE
,3105,RBC_Chequing,2023-06-01,STAFF - PAYROLL,-1592.44,income_wages,FALSE
,3106,RBC_Chequing,2023-06-01,Email Trfs,1475,housing,FALSE
,3146,RBC_Savings,2023-06-01,DEPOSIT INTEREST,-12.33,other,FALSE
,3147,RBC_Savings,2023-06-01,BONUS DEP INT,-28.78,other,FALSE
,3168,BMO_MASTERCARD,2023-06-01,CASH ADVANCE FEE,5,other,FALSE
,66,BMO_CHECKING,2023-05-31,PERFORMANCE PLAN,16.95,bank_fees,FALSE
,67,BMO_CHECKING,2023-05-31,XE LUA VIETNAME,20.25,food_drink,FALSE
,107,BMO_CHECKING,2023-05-31,PERFORMANCE PLAN,16.95,bank_fees,FALSE
,108,BMO_CHECKING,2023-05-31,XE LUA VIETNAME,20.25,food_drink,FALSE
,3104,RBC_Chequing,2023-05-31,E-TRF AUTODEPOSIT,-1000,etransfer_in,FALSE
,3167,BMO_MASTERCARD,2023-05-31,291 SPADINA AVE TORONTO ON,80,food_drink,FALSE
,1868,AMEX,2023-05-30,GOOGLE *YOUTUBEPREMIUM G.CO/HELPPAY#,7.34,bank_fees,FALSE
,1869,AMEX,2023-05-30,PUSATERI'S YONGE ST. TORONTO,3.96,food_drink,FALSE
,1870,AMEX,2023-05-30,ROLLTATION 10 DUNDAS TO TORONTO,15.8,food_drink,FALSE
,1871,AMEX,2023-05-30,TIM HORTONS #2387 TORONTO,9.92,food_drink,FALSE
,3103,RBC_Chequing,2023-05-30,Email Trfs Can,20,etransfer_out,FALSE
,3166,BMO_MASTERCARD,2023-05-30,HMART - DUNDAS TORONTO ON,28.35,groceries,FALSE
,1865,AMEX,2023-05-29,BARONESS 001 TORONTO,6.72,food_drink,FALSE
,1866,AMEX,2023-05-29,MCDONALD'S 40437 TORONTO,11.39,food_drink,FALSE
,1867,AMEX,2023-05-29,ROLLTATION 10 DUNDAS TO TORONTO,7.9,food_drink,FALSE
,1863,AMEX,2023-05-28,BARONESS 001 TORONTO,6.72,food_drink,FALSE
,1864,AMEX,2023-05-28,ROLLTATION 10 DUNDAS TO TORONTO,26.4,food_drink,FALSE
,1861,AMEX,2023-05-27,SHOPPERS DRUG MART #140 TORONTO,14.67,personal_care,FALSE
,1862,AMEX,2023-05-27,STEAK&CHEESEFACTORY AND Toronto,14.69,food_drink,FALSE
,65,BMO_CHECKING,2023-05-26,AMEX FTD/RII,302.76,credit_card_payment,FALSE
,106,BMO_CHECKING,2023-05-26,AMEX FTD/RII,302.76,credit_card_payment,FALSE
,1856,AMEX,2023-05-26,BARONESS 001 TORONTO,7.06,food_drink,FALSE
,1857,AMEX,2023-05-26,IKEA 659 TORONTO AURA TORONTO,1.68,office_supplies,FALSE
,1858,AMEX,2023-05-26,METRO 759 TORONTO,83.36,groceries,FALSE
,1859,AMEX,2023-05-26,PAYMENT RECEIVED - THANK YOU,-302.76,credit_card_payment,FALSE
